OBJECTID,Ruee_Calculado,Rule_Calculado,Nombre,Calle,Nro_de_puerta,Nro_de_Centro,Telefono,Mail,Departamento,Localidad,DEPEND,DEPENDID,OFERTA_CICLOBASICO,OFERTA_BACHILLERGRAL,GRADO_ANNO,BACHIILER_DIVNOMBRE,Turno,PLAN,HORARIO,MODALIDAD,NOMBRELIC,MATRICULA,MATRICULA_PRIVADO,TAM_MEDIO_GRUPO,TAM_MEDIO_GRUPO_PRIVADO,REPETICION,REPETICION_PRIVADO,DESERCION,DESERCION_PRIVADO,CANT_AULAS,CANT__AULAS__PRIVADAS,Paraje,DescPlan,RUEE_RAD,x,y,RUEE_RAD_Long
,1201001,3010273,MONTEVIDEO N°1-  JOSE ENRIQUE RODO,ANDES (CENTRO),1180,0,29012329/29032062/29015096,,MONTEVIDEO,MONTEVIDEO,1001,1001,0,1,4,,4,PLAN 1994 MARTHA AVERBUG,NOCTURNO,SEMESTRAL,MONTEVIDEO Nº 1,,,,,,,,,,,,https://www.ces.edu.uy/index.php/plan-1994,,573302,6136691,
,1201001,3010273,MONTEVIDEO N°1-  JOSE ENRIQUE RODO,ANDES (CENTRO),1180,0,29012329/29032062/29015096,,MONTEVIDEO,MONTEVIDEO,1001,1001,0,1,5,HUMANÍSTICO,4,PLAN 1994 MARTHA AVERBUG,NOCTURNO,SEMESTRAL,MONTEVIDEO Nº 1,,,,,,,,,,,,https://www.ces.edu.uy/index.php/plan-1994,,573302,6136691,
,1201001,3010273,MONTEVIDEO N°1-  JOSE ENRIQUE RODO,ANDES (CENTRO),1180,0,29012329/29032062/29015096,,MONTEVIDEO,MONTEVIDEO,1001,1001,0,1,5,BIOLÓGICO,4,PLAN 1994 MARTHA AVERBUG,NOCTURNO,SEMESTRAL,MONTEVIDEO Nº 1,,,,,,,,,,,,https://www.ces.edu.uy/index.php/plan-1994,,573302,6136691,
,1201001,3010273,MONTEVIDEO N°1-  JOSE ENRIQUE RODO,ANDES (CENTRO),1180,0,29012329/29032062/29015096,,MONTEVIDEO,MONTEVIDEO,1001,1001,0,1,6,DERECHO,4,PLAN 1994 MARTHA AVERBUG,NOCTURNO,SEMESTRAL,MONTEVIDEO Nº 1,,,,,,,,,,,,https://www.ces.edu.uy/index.php/plan-1994,,573302,6136691,
,1201001,3010273,MONTEVIDEO N°1-  JOSE ENRIQUE RODO,ANDES (CENTRO),1180,0,29012329/29032062/29015096,,MONTEVIDEO,MONTEVIDEO,1001,1001,0,1,6,MEDICINA,4,PLAN 1994 MARTHA AVERBUG,NOCTURNO,SEMESTRAL,MONTEVIDEO Nº 1,,,,,,,,,,,,https://www.ces.edu.uy/index.php/plan-1994,,573302,6136691,
,1201001,3010273,MONTEVIDEO N°1-  JOSE ENRIQUE RODO,ANDES (CENTRO),1180,0,29012329/29032062/29015096,,MONTEVIDEO,MONTEVIDEO,1001,1001,0,1,4,,1E,REFORMULACIÓN 2006,DIURNO EXTENDIDO,ANUAL,MONTEVIDEO Nº 1,,,,,,,,,,,,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,,573302,6136691,
,1201001,3010273,MONTEVIDEO N°1-  JOSE ENRIQUE RODO,ANDES (CENTRO),1180,0,29012329/29032062/29015096,,MONTEVIDEO,MONTEVIDEO,1001,1001,0,1,4,,2E,REFORMULACIÓN 2006,DIURNO EXTENDIDO,ANUAL,MONTEVIDEO Nº 1,,,,,,,,,,,,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,,573302,6136691,
,1201001,3010273,MONTEVIDEO N°1-  JOSE ENRIQUE RODO,ANDES (CENTRO),1180,0,29012329/29032062/29015096,,MONTEVIDEO,MONTEVIDEO,1001,1001,1,0,7,,1E,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,DIURNO EXTENDIDO,ANUAL,MONTEVIDEO Nº 1,,,,,,,,,,,,https://www.ces.edu.uy/index.php/estudiantes/26591-planes-para-ciclo-basico,,573302,6136691,
,1201001,3010273,MONTEVIDEO N°1-  JOSE ENRIQUE RODO,ANDES (CENTRO),1180,0,29012329/29032062/29015096,,MONTEVIDEO,MONTEVIDEO,1001,1001,1,0,7,,2E,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,DIURNO EXTENDIDO,ANUAL,MONTEVIDEO Nº 1,,,,,,,,,,,,https://www.ces.edu.uy/index.php/estudiantes/26591-planes-para-ciclo-basico,,573302,6136691,
,1201001,3010273,MONTEVIDEO N°1-  JOSE ENRIQUE RODO,ANDES (CENTRO),1180,0,29012329/29032062/29015096,,MONTEVIDEO,MONTEVIDEO,1001,1001,1,0,8,,1E,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,DIURNO EXTENDIDO,ANUAL,MONTEVIDEO Nº 1,,,,,,,,,,,,https://www.ces.edu.uy/index.php/estudiantes/26591-planes-para-ciclo-basico,,573302,6136691,
