CÓDIGO,Departamento,Jurisdicción,Cat.,Nro.,NOMBRE,T,CALLE,Nº,CALLE2,Nº2,CALLE3,Nº3,BARRIO / LOCALIDAD,TELEFONO,COMENTARIO,CH,CA,JA,EA,CTR,JTR,ETR,Unnamed: 23,Ed. Especial,0,Unnamed: 26,0.1,Unnamed: 28,Ed. Especial.1,0.2,Unnamed: 31,0.3,direccion_completa,Latitud,Longitud,Intento
MONTEVIDEO - HABILITADO_002,MONTEVIDEO,ESTE,HABILITADO,2,BEATA IMELDA,D,Cno. MALDONADO,5853,,,,,BELLA ITALIA,2514 07 62,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno. MALDONADO 5853,-56.12187284667576,-34.83998045522073,1
MONTEVIDEO - HABILITADO_003,MONTEVIDEO,OESTE,HABILITADO,3,CLARA JACKSON DE HEBER,M,Av. Dr. LUIS A. de HERRERA,4102,Av. Dr. LUIS A. de HERRERA,4142,,,ATAHUALPA,2203 63 20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Dr. LUIS A. de HERRERA 4102,-56.18658589551601,-34.860778227934695,1
MONTEVIDEO - HABILITADO_004,MONTEVIDEO,OESTE,HABILITADO,4,CORAZON DE MARIA,D,Av. Dr. LUIS A. de HERRERA,2920,,,,,LARRAÑAGA,2481 96 57,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Dr. LUIS A. de HERRERA 2920,-56.15803939788601,-34.875460343877364,1
MONTEVIDEO - HABILITADO_005,MONTEVIDEO,OESTE,HABILITADO,5,CEN. INT. DE ED. INFANTIL (C.I.E.I.),D,Av. E. GARZON,1717,,,,,COLON CENTRO,2320 12 28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. E. GARZON 1717,-56.220987918980526,-34.81175140359003,1
MONTEVIDEO - HABILITADO_006,MONTEVIDEO,OESTE,HABILITADO,6,LA DIVINA PROVIDENCIA,D,DIONISIO CORONEL,1012,,,,,LA TEJA,2309 38 69,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,DIONISIO CORONEL 1012,-56.236837560619364,-34.869273013308344,1
MONTEVIDEO - HABILITADO_9-10,MONTEVIDEO,CENTRO,HABILITADO,9-10,ELBIO FERNANDEZ,T,MALDONADO,1381,CANELONES,1382,,,CENTRO,2908 39 98,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MALDONADO 1381,-56.18581335809405,-34.90918639704386,1
MONTEVIDEO - HABILITADO_011,MONTEVIDEO,OESTE,HABILITADO,11,EL CARMEN,T,FELIX OLMEDO,3514,,,,,PRADO,2309 34 93,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,FELIX OLMEDO 3514,-56.20652851063168,-34.86758942802418,1
MONTEVIDEO - HABILITADO_012,MONTEVIDEO,CENTRO,HABILITADO,12,ELISA QUEIROLO DE MAILHOS,M,NORBERTO ORTIZ,3837,,,,,CERRITO ,2215 16 28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,NORBERTO ORTIZ 3837,-56.17092336233712,-34.857743287104924,1
MONTEVIDEO - HABILITADO_014,MONTEVIDEO,CENTRO,HABILITADO,14,CRISTO DIVINO OBRERO,M,ANTILLAS,5475,,,,,CASAVALLE,2222 42 12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ANTILLAS 5475,-56.17946187159479,-34.82533476000441,1
MONTEVIDEO - HABILITADO_017,MONTEVIDEO,CENTRO,HABILITADO,17,INMACULADA CONCEPCION,T,MERCEDES,984,,,,,CENTRO,2902 96 18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MERCEDES 984,-56.19528594204059,-34.90437024491925,1
MONTEVIDEO - HABILITADO_018,MONTEVIDEO,CENTRO,HABILITADO,18,INMACULADO CORAZON DE MARIA,M,MERCEDES,1371,MERCEDES,1383,,,CORDON,2900 61 37,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MERCEDES 1371,-56.18683073453857,-34.9035875359492,1
MONTEVIDEO - HABILITADO_019,MONTEVIDEO,CENTRO,HABILITADO,19,INSTITUTO CRANDON,M,JUAN RAMON GOMEZ,2712,,,,,LA BLANQUEADA,2487 33 75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JUAN RAMON GOMEZ 2712,-56.16153093517678,-34.88777843906807,1
MONTEVIDEO - HABILITADO_020,MONTEVIDEO,ESTE,HABILITADO,20,JESUS MARIA,M,EDMUNDO BIANCHI,2228,Gral. MÁXIMO TAJES,6604,AV. ITALIA,6604,CARRASCO NORTE,2600 15 00 / 2604 42 50,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,EDMUNDO BIANCHI 2228,-56.061856457872665,-34.87599164258141,1
MONTEVIDEO - HABILITADO_021,MONTEVIDEO,CENTRO,HABILITADO,21,JOSE PEDRO VARELA,D,COLONIA,1645,,,,,CORDON,2409 70 20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,COLONIA 1645,-56.18126874233826,-34.90279743363568,1
MONTEVIDEO - HABILITADO_022,MONTEVIDEO,CENTRO,HABILITADO,22,CEN. ED. PRIM. ADVENTISTA (C.E.P.A.),D,Ing. JOSE SERRATO,3632,Ing. JOSE SERRATO,3630,,,MERCADO MODELO,2215 94 56,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Ing. JOSE SERRATO 3632,-56.15941160796703,-34.85499785882051,1
MONTEVIDEO - HABILITADO_023,MONTEVIDEO,OESTE,HABILITADO,23,MADRE PAULINA,D,CARMELO DE ARZADUM,6023,,,,,NUEVO PARIS,2309 70 77,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CARMELO DE ARZADUM 6023,-56.24321699999996,-34.828346000001126,1
MONTEVIDEO - HABILITADO_024,MONTEVIDEO,CENTRO,HABILITADO,24,MARIA AUXILIADORA (I.M.A.),M,CANELONES,1701,,,,,CORDON,2418 46 82,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CANELONES 1701,-56.177929219322074,-34.907682174106704,1
MONTEVIDEO - HABILITADO_025,MONTEVIDEO,ESTE,HABILITADO,25,SAINT DAVID'S SCHOOL,D,PEDRO BERRO,774,JUAN MARÍA PÉREZ,2740,,,POCITOS,2710 24 41 / 2712 02 37,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,PEDRO BERRO 774,-56.153217890848005,-34.916809810988255,1
MONTEVIDEO - HABILITADO_026,MONTEVIDEO,OESTE,HABILITADO,26,Ntra. Sra. DE MONTSERRAT,D,ALASKA,748,,,,, TRES OMBUES,2308 78 10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ALASKA 748,-56.24269247879043,-34.8566156882748,1
MONTEVIDEO - HABILITADO_027,MONTEVIDEO,OESTE,HABILITADO,27,MARIANO,T,Av. MILLAN,4181,,,,,P. DE LAS DURANAS,2309 85 12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. MILLAN 4181,-56.1990192324097,-34.84857347139149,1
MONTEVIDEO - HABILITADO_028,MONTEVIDEO,CENTRO,HABILITADO,28,MISERICORDISTA,D,Av. SAN MARTIN,3820,,,,,CERRITO,2216 09 80,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. SAN MARTIN 3820,-56.17340929092638,-34.85525510627988,1
MONTEVIDEO - HABILITADO_032,MONTEVIDEO,OESTE,HABILITADO,32,Sta. MARIA DE LA AYUDA,D,BOGOTA,3589,,,,,CERRO,2311 10 20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,BOGOTA 3589,-56.25209561409568,-34.88730126668462,1
MONTEVIDEO - HABILITADO_034,MONTEVIDEO,CENTRO,HABILITADO,34,Ntra. Sra. DEL HUERTO,T,SAN JOSE,990,,,,,CENTRO,2900 47 88,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SAN JOSE 990,-56.19495692525198,-34.90721788460705,1
MONTEVIDEO - HABILITADO_035,MONTEVIDEO,CENTRO,HABILITADO,35,Ntra. Sra. DEL LUJAN,D,Dr. WASHINGTON BELTRAN,1868,,,,,LA BLANQUEADA,2487 77 63,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Dr. WASHINGTON BELTRAN 1868,-56.142959076264866,-34.89196592801493,1
MONTEVIDEO - HABILITADO_036,MONTEVIDEO,OESTE,HABILITADO,36,CEN. ED. LIBANO,M,MOLINOS DE RAFFO,926,,,,,SAYAGO,2359 32 20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MOLINOS DE RAFFO 926,-56.20870401715262,-34.84000598031274,1
MONTEVIDEO - HABILITADO_037,MONTEVIDEO,ESTE,HABILITADO,37,Ntra. Sra. DE LOURDES,T,AMAZONAS,1636,,,,,MALVIN,2619 32 69,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AMAZONAS 1636,-56.10099436864933,-34.8914256500347,1
MONTEVIDEO - HABILITADO_039,MONTEVIDEO,ESTE,HABILITADO,39,HARWOOD SCHOOL,D,SIRACUSA,2380,,,,,CARRASCO,2601 93 60,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SIRACUSA 2380,-56.08867997485743,-34.87522946995975,1
MONTEVIDEO - HABILITADO_041,MONTEVIDEO,OESTE,HABILITADO,41,Ntra. Sra. DEL PERPETUO SOCORRO,T,Av. SAYAGO,1090,,,,,SAYAGO,2359 43 52,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. SAYAGO 1090,-56.21522902888776,-34.832751923621075,1
MONTEVIDEO - HABILITADO_043,MONTEVIDEO,CENTRO,HABILITADO,43,PALLOTTI,T,Av. Dr. LUIS A. de HERRERA,2882,,,,,LARRAÑAGA,2487 19 71,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Dr. LUIS A. de HERRERA 2882,-56.1573179654967,-34.87635588493483,1
MONTEVIDEO - HABILITADO_044,MONTEVIDEO,OESTE,HABILITADO,44,COLEGIO PIO IX,D,Av. LEZICA,6375,,,,,LEZICA,2322 80 77,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. LEZICA 6375,-56.248476423550464,-34.79611631440545,1
MONTEVIDEO - HABILITADO_045,MONTEVIDEO,CENTRO,HABILITADO,45,REGINA MARTYRUM,M,Ing. JOSE SERRATO,3536,,,,,CERRITO ,2215 34 19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Ing. JOSE SERRATO 3536,-56.15620317575599,-34.856288630838215,1
MONTEVIDEO - HABILITADO_046,MONTEVIDEO,ESTE,HABILITADO,46,SAGRADA FAMILIA,D,Av. ESTANISLAO LOPEZ,4568,Av. ITALIA,4472,,,MALVIN,2619 09 27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. ESTANISLAO LOPEZ 4568,-56.11050942701353,-34.88819976393195,1
MONTEVIDEO - HABILITADO_047,MONTEVIDEO,CENTRO,HABILITADO,47,SAGRADA FAMILIA,D,Av. LIBERTADOR J. A. LAVALLEJA,1960,,,,,AGUADA,2924 05 59,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. LIBERTADOR J. A. LAVALLEJA 1960,-56.1886501687853,-34.89465446692829,1
MONTEVIDEO - HABILITADO_048,MONTEVIDEO,CENTRO,HABILITADO,48,SAGRADO CORAZON,T,Av. GARIBALDI,1682,Av. GARIBALDI,1693,,,REDUCTO,2209 17 31,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. GARIBALDI 1682,-56.1827002999799,-34.875080534483445,1
MONTEVIDEO - HABILITADO_050,MONTEVIDEO,ESTE,HABILITADO,50,SAGRADO CORAZON DE JESUS,M,Cno. MALDONADO,6641,,,,,PUNTA DE RIELES,2514 22 22,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno. MALDONADO 6641,-56.104873247315574,-34.82608783792823,1
MONTEVIDEO - HABILITADO_51-52,MONTEVIDEO,CENTRO,HABILITADO,51-52,SEMINARIO ,D,SORIANO,1472,SORIANO,1473,,,CORDON,2418 40 75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SORIANO 1472,-56.183240576305174,-34.90727199208638,1
MONTEVIDEO - HABILITADO_054,MONTEVIDEO,OESTE,HABILITADO,54,INT. ARMENIO NUBARIAN,T,Av. AGRACIADA,2850,,,,,AGUADA,2208 06 28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. AGRACIADA 2850,-56.19644758952947,-34.8780147887689,1
MONTEVIDEO - HABILITADO_056,MONTEVIDEO,OESTE,HABILITADO,56,SAN FRANCISCO DE ASIS,D,JOSE LLUPES,4551,,,,,NUEVO PARIS,2305 43 97,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JOSE LLUPES 4551,-56.22836872712846,-34.85145238225669,1
MONTEVIDEO - HABILITADO_057,MONTEVIDEO,OESTE,HABILITADO,57,SAN FRANCISCO DE SALES,D,Bv. ARTIGAS,4365,,,,,BELLA VISTA,2203 32 44,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Bv. ARTIGAS 4365,-56.2008561110978,-34.87233012678293,1
MONTEVIDEO - HABILITADO_059,MONTEVIDEO,OESTE,HABILITADO,59,SAN JOSE,D,Av. E. GARZON,1867,,,,,COLON,2320 04 40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. E. GARZON 1867,-56.22172028414394,-34.807769393110746,1
MONTEVIDEO - HABILITADO_060,MONTEVIDEO,OESTE,HABILITADO,60,SAN JOSE,T,CARLOS MARIA RAMIREZ,2090,,,,,CERRO NORTE,2311 16 72,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CARLOS MARIA RAMIREZ 2090,-56.25970012866948,-34.875174983896784,1
MONTEVIDEO - HABILITADO_064,MONTEVIDEO,OESTE,HABILITADO,64,SAN JOSE LEOPOLDO GIANELLI,T,Cno. LA CAPILLA,3700,,,,,P. DE LA ARENA,2311 43 01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno. LA CAPILLA 3700,-56.12837945804523,-34.77276981174266,1
MONTEVIDEO - HABILITADO_065,MONTEVIDEO,ESTE,HABILITADO,65,SAN JUAN BAUTISTA,T,LUIS B. CAVIA,2830,,,,,POCITOS,2708 33 41,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LUIS B. CAVIA 2830,-56.15495473789262,-34.91082138695084,1
MONTEVIDEO - HABILITADO_067,MONTEVIDEO,OESTE,HABILITADO,67,SAN LUIS,T,Cno.  LECOCQ,1325,,,,,CONCILIACION,2320 03 97,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno.  LECOCQ 1325,-56.23213895653155,-34.81519480337297,1
MONTEVIDEO - HABILITADO_068,MONTEVIDEO,CENTRO,HABILITADO,68,SAN MIGUEL,M,CONCEPCION ARENAL,1893,,,,,VILLA MUÑOZ,2200 53 18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CONCEPCION ARENAL 1893,-56.17893325113356,-34.88175212088973,1
MONTEVIDEO - HABILITADO_069,MONTEVIDEO,CENTRO,HABILITADO,69,BILINGÜE CIUDAD VIEJA,D,MACIEL,1371/3 - 1377,BUENOS AIRES,182,ALZAIBAR,1328,CIUDAD VIEJA,2915 52 80,DIRECCIÓN 2 es anexo maternal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MACIEL 1371/3 - 1377,-56.21109326359511,-34.908994605056506,1
MONTEVIDEO - HABILITADO_070,MONTEVIDEO,OESTE,HABILITADO,70,Sta. CLARA,D,BOGOTA,3275,,,,,CERRO,2311 11 81,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,BOGOTA 3275,-56.250938489332896,-34.892904728844165,1
MONTEVIDEO - HABILITADO_071,MONTEVIDEO,ESTE,HABILITADO,71,Sta. ELENA,D,Av. Gral. RIVERA,4212,Av. Gral. RIVERA,4331,,,BUCEO,2619 27 19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Gral. RIVERA 4212,-56.122057445457905,-34.89618336304301,1
MONTEVIDEO - HABILITADO_072,MONTEVIDEO,ESTE,HABILITADO,72,Sta. LUISA DE MARILLAC,T,LARRAVIDE,2406,,,,,UNION,2508 42 59,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LARRAVIDE 2406,-56.13718053675905,-34.87534510565991,1
MONTEVIDEO - HABILITADO_073,MONTEVIDEO,CENTRO,HABILITADO,73,Sta. MARIA,T,8 DE OCTUBRE,2966,8 DE OCTUBRE,2980,8 DE OCTUBRE,2982,LA BLANQUEADA,2487 22 12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,8 DE OCTUBRE 2966,-56.15601289251302,-34.88461215945922,1
